"","YearIndex","CompaniesIndex","Roa","TobinsQ","FinancialLeverage","Growth","FirmSize","Industry","CarbonProductivity","WaterProductivity","WasteProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"237",3,79,-0.0199,-0.301105092783922,1.09,0.2931,23.1514257528485,8,0.03,0,0,0,0,0
"238",1,80,0.0958,0.932164081030445,0.32,0.1197,22.1337892886128,2,0.17,0.23,0.11,0,0,0
"239",2,80,0.095,1.01160091167848,0.28,0.1235,22.1724645722127,2,0,0.07,0.03,0,0,0
"240",3,80,0.1066,1.02604159583327,0.33,0.1255,22.2006113209502,2,0.09,0,0,0,0,0
"241",1,81,0.1495,1.22377543162212,NA,0.0523,21.7543128061188,6,0,0,0,0,0,0
"242",2,81,0.1593,1.05082162483176,0.53,0.0326,21.7539561091291,6,0.1,0,0,0,1,0
"243",3,81,0.1494,1.06471073699243,0.48,0.0334,21.8907821042617,6,0.01,0,0,0,1,0
"244",1,82,-0.0087,0.470003629245736,85.96,-0.0405,23.4705367512019,1,0,0,0,0,0,0
"245",2,82,-0.0085,0.350656871613169,93.91,-0.0207,23.5739723384501,1,0,0,0,0,0,0
"247",1,83,0.0381,-0.446287102628419,0.51,0.0557,24.7073117852218,5,0.86,0,0,0,0,0
"248",2,83,0.0371,-0.22314355131421,0.47,0.0456,24.7184528276353,5,0.1,0,0,1,0,0
"249",3,83,0.0321,-0.356674943938732,0.46,0.0602,24.7467586581966,5,0.1,0.1,0,1,0,0
"250",1,84,0.0238,NA,2.63,-0.5339,24.5077281609541,4,0,0,0,0,0,0
"251",2,84,0.0183,NA,2.46,0.2819,24.5763665208225,4,0,0,0,0,0,0
"252",3,84,-0.0129,NA,2.04,0.4281,24.5919637176362,4,0.07,0,0,0,0,0
"253",1,85,0.1595,1.61143591509677,2.25,0.1447,23.3180726824343,2,0.38,0.35,0.37,1,1,1
"254",2,85,0.1089,1.69377906086785,2.06,0.1286,23.3534265660539,2,0.09,0.07,0.09,1,1,1
"255",3,85,0.2027,1.65249740189455,4.93,0.1262,23.322913864198,2,0.07,0.07,0.08,1,1,1
"256",1,86,0.0722,0.314810739840034,1.12,0.2874,22.9359262224125,3,0,0,0,0,0,0
"257",2,86,-0.0235,0.0582689081239758,1.19,0.2212,23.2032436934977,3,0,0,0,0,0,0
"258",3,86,-0.0278,0.631271776841858,1.21,0.2035,23.4409362814256,3,0.02,0,0,0,0,0
"259",1,87,0.1302,1.18478998490916,38.7321,0.0989,22.227787579431,2,0.33,0.34,0.49,1,1,1
