Ticker;Variable;2012;2013;2014;2015;2016
BLL;open;22.459.999;25.004.999;33.525.002;34.709.999;37.549.999
BLL;high;22.735.001;25.985.001;35.25;37.119.999;76.870.003
BLL;low;21.66;24.629.999;32.27;33.255.001;36.215
BLL;close;22.375;25.83;34.084.999;36.365.002;76.839.996
BLL;adjclose;20.596.252;24.328.079;32.658.058;35.367.504;75.800.362
BLL;volume;38906400;29929600;40316800;50136800;26917500
BMRN;open;48.950.001;70.529.999;89.300.003;96.230.003;85.970.001
BMRN;high;50.48;71.5;96.360.001;107.559.998;87.610.001
BMRN;low;46.529.999;67.110.001;85.720.001;91.209.999;79.5
BMRN;close;49.200.001;70.349.998;90.400.002;104.760.002;82.839.996
BMRN;adjclose;49.200.001;70.349.998;90.400.002;104.760.002;82.839.996
BMRN;volume;16661700;17185500;25875000;24071100;25998400
BMY;open;32.709.999;51.290.001;59.209.999;67.540.001;55.939.999
BMY;high;33.549.999;54.490.002;61.77;70.870.003;59.93
BMY;low;31.85;50.110.001;57.599.998;66.139.999;54.360.001
BMY;close;32.59;53.150.002;59.029.999;68.790.001;57.040.001
BMY;adjclose;28.053.537;4.735.791;54.103.329;64.569.313;54.818.752
BMY;volume;169576100;131146400;130195700;112861600;189353200
BSX;open;5.67;11.61;12.79;18.450.001;20.459.999
BSX;high;5.84;12.28;13.41;18.940.001;21.940.001
BSX;low;5.46;11.12;12.56;17.99;19.67
BSX;close;5.73;12.02;13.25;18.440.001;21.629.999
BSX;adjclose;5.73;12.02;13.25;18.440.001;21.629.999
BSX;volume;230346400;224925600;236225600;166756800;158369000
BWA;open;33.244.999;53.759.998;56.470.001;42.810.001;35.98
BWA;high;35.924.999;56.450.001;58.82;44.349.998;41.98
BWA;low;33.009.998;51.709.999;51.290.001;39.529.999;35.740.002
BWA;close;35.810.001;55.91;54.950.001;43.23;41.860.001
BWA;adjclose;33.685.822;53.123.753;52.670.017;41.861.942;41.176.559
BWA;volume;46968400;27460900;36961100;34214800;62482500
BX;open;14.85;28.799.999;33.299.999;31.450.001;25.969.999
BX;high;15.59;31.940.001;34.700.001;31.870.001;30.25
BX;low;14.55;27.639.999;32.130.001;26.82;25.57
BX;close;15.59;31.5;33.830.002;29.24;29.52
BX;adjclose;10.975.853;23.444.284;26.709.368;24.893.618;26.772.202
BX;volume;56227300;82435100;86446300;119208500;134149400
BXP;open;102.970.001;99.849.998;129.479.996;125.870.003;123.169.998
BXP;high;106.870.003;105.220.001;137.149.994;130.679.993;130.660.004
BXP;low;101.959.999;98.040.001;128.350.006;121.120.003;121.18
BXP;close;105.809.998;100.370.003;128.690.002;127.540.001;125.779.999
BXP;adjclose;93.308.548;9.076.297;119.117.554;120.478.821;121.230.141
BXP;volume;15976600;19229300;18900300;16560400;16540300
C;open;34.959.999;52.959.999;53.799.999;54.400.002;56.77
C;high;40.18;53.41;56.950.001;55.330.002;61.299.999
C;low;34.07;50.27;51.110.001;50.5;55.93
C;close;39.560.001;52.110.001;54.110.001;51.75;59.43
C;adjclose;38.303.661;50.497.944;52.478.382;50.336.422;58.341.579
C;volume;764120200;402157100;394695100;359001500;448406800
CA;open;22.32;32.970.001;30.969.999;28.18;31.93
CA;high;22.66;33.790.001;31.73;29.459.999;33.040.001
CA;low;21.67;31.610.001;28.83;27.09;30.01
CA;close;21.98;33.650.002;30.450.001;28.559.999;31.77
CA;adjclose;18.450.525;29.254.169;27.371.103;26.574.411;30.552.975
CA;volume;88291400;53204400;59400100;68035000;52600100
CAG;open;23.276.264;25.680.933;28.287.937;32;36.380.001
CAG;high;24.217.899;26.396.887;29.151.751;33.392.998;39.970.001
CAG;low;22.396.887;2.414.786;27.291.828;30.326.849;35.959.999
CAG;close;22.957.199;26.225.681;28.233.463;32.809.338;38.439.999
CAG;adjclose;19.405.975;23.022.856;25.798.422;30.979.496;37.364.628
CAG;volume;96143000;81652100;76923800;79178500;75422600
CAH;open;40.610.001;64.360.001;81.809.998;87.389.999;70.940.002
CAH;high;42.740.002;67.75;83.400.002;91.230.003;74.32
CAH;low;40.220.001;62.549.999;79.029.999;85.339.996;68.599.998
CAH;close;41.18;66.809.998;80.730.003;89.269.997;71.970.001
CAH;adjclose;36.196.445;60.232.071;74.132.828;83.428.612;68.669.609
CAH;volume;39596500;54828600;31752500;36212400;54591700
CAT;open;85.919.998;84.699.997;100.239.998;72.330.002;96
CAT;high;91.830.002;91.669.998;101.459.999;72.639.999;97.400.002
CAT;low;83.75;83.110.001;88.029.999;64.099.998;91
CAT;close;89.610.001;90.809.998;91.529.999;67.959.999;92.739.998
CAT;adjclose;7.606.321;79.117.989;81.868.546;63.060.349;8.961.248
CAT;volume;115496400;103160000;123785900;140848000;88171700
CBG;open;18.93;24.25;33.66;37.5;29.120.001
CBG;high;20.549.999;26.58;35.369.999;37.790.001;33.209.999
CBG;low;18.33;24.049.999;31.950.001;33.5;28.91
CBG;close;19.9;26.299.999;34.25;34.580.002;31.49
CBG;adjclose;19.9;26.299.999;34.25;34.580.002;31.49
CBG;volume;44701700;44714600;43076100;36805800;49829200
