"","Ticker","Date","Year","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen"
"7839","DIS",2016-12-01,2016,0.0578499009548815,3e-04,0.0185,0.0575499009548815,0.0182,0.986166858190425,0.0396016641358158
"7849","DISCA",2011-12-01,2011,-0.0243532206490482,0,0.0074,-0.0243532206490482,0.0074,0.948204562920161,-0.0313699344146574
"7872","DISCA",2012-12-01,2012,0.0495702517599455,1e-04,0.0119,0.0494702517599455,0.0118,0.948204562920161,0.0382814379174876
"7884","DISCA",2013-12-01,2013,0.0354587530336392,0,0.0281,0.0354587530336392,0.0281,0.948204562920161,0.00881420481558266
"7885","DISCA",2014-12-01,2014,-0.0129778600277267,0,-6e-04,-0.0129778600277267,-6e-04,0.948204562920161,-0.0124089372899746
"7904","DISCA",2015-12-01,2015,-0.154578913245391,1e-04,-0.0216,-0.154678913245391,-0.0217,0.948204562920161,-0.134102874230023
"7916","DISCA",2016-12-01,2016,0.0117432542176907,3e-04,0.0185,0.0114432542176907,0.0182,0.948204562920161,-0.00581406882745628
"7925","DLTR",2011-12-01,2011,0.0196847427756955,0,0.0074,0.0196847427756955,0.0074,0.308765534695952,0.0173998778189454
"7938","DLTR",2012-12-01,2012,-0.0286775656269621,1e-04,0.0119,-0.0287775656269621,0.0118,0.308765534695952,-0.0324209989363744
"7949","DLTR",2013-12-01,2013,0.0137415564649699,0,0.0281,0.0137415564649699,0.0281,0.308765534695952,0.00506524494001368
"7961","DLTR",2014-12-01,2014,0.0291212163918647,0,-6e-04,0.0291212163918647,-6e-04,0.308765534695952,0.0293064757126823
"7979","DLTR",2015-12-01,2015,0.0230558025019928,1e-04,-0.0216,0.0229558025019928,-0.0217,0.308765534695952,0.029656014604895
"7987","DLTR",2016-12-01,2016,-0.133013034667181,3e-04,0.0185,-0.133313034667181,0.0182,0.308765534695952,-0.138932567398648
"7993","DOV",2011-12-01,2011,0.0545174004602714,0,0.0074,0.0545174004602714,0.0074,1.35912778037728,0.0444598548854796
"8009","DOV",2012-12-01,2012,0.0327951218166777,1e-04,0.0119,0.0326951218166776,0.0118,1.35912778037728,0.0166574140082258
"8028","DOV",2013-12-01,2013,0.061959154603596,0,0.0281,0.061959154603596,0.0281,1.35912778037728,0.0237676639749944
