Date;RF;Mkt-RF;SMB;HML
01-05-62;    0.24;   -8.65;   -3.02;    2.32
01-06-62;    0.20;   -8.47;   -0.76;    2.79
01-07-62;    0.27;    6.28;    1.61;   -3.62
01-08-62;    0.23;    2.13;    1.25;   -1.22
01-09-62;    0.21;   -5.22;   -2.49;    1.31
01-10-62;    0.25;   -0.05;   -4.01;    1.35
01-11-62;    0.20;   10.87;    2.58;    1.05
01-12-62;    0.23;    1.01;   -3.80;    0.34
01-01-63;    0.25;    4.93;    3.09;    2.21
01-02-63;    0.23;   -2.38;    0.48;    2.24
01-03-63;    0.23;    3.08;   -2.51;    1.94
01-04-63;    0.25;    4.51;   -1.32;    1.03
01-05-63;    0.24;    1.76;    1.07;    2.58
01-06-63;    0.23;   -2.00;   -0.26;    0.72
01-07-63;    0.27;   -0.39;   -0.55;   -0.81
01-08-63;    0.25;    5.07;   -0.95;    1.65
01-09-63;    0.27;   -1.57;   -0.30;    0.19
01-10-63;    0.29;    2.53;   -0.54;   -0.09
01-11-63;    0.27;   -0.85;   -1.13;    1.71
01-12-63;    0.29;    1.83;   -1.96;   -0.10
01-01-64;    0.30;    2.24;   -0.19;    1.61
01-02-64;    0.26;    1.54;    0.09;    2.82
01-03-64;    0.31;    1.41;    0.99;    3.34
01-04-64;    0.29;    0.10;   -1.36;   -0.53
01-05-64;    0.26;    1.42;   -0.90;    1.96
01-06-64;    0.30;    1.27;   -0.26;    0.68
01-07-64;    0.30;    1.74;    0.23;    0.70
01-08-64;    0.28;   -1.44;    0.09;    0.09
01-09-64;    0.28;    2.69;   -0.51;    1.64
01-10-64;    0.29;    0.59;    0.45;    1.15
01-11-64;    0.29;    0.00;    0.61;   -1.99
01-12-64;    0.31;    0.03;   -0.25;   -2.55
01-01-65;    0.28;    3.54;    2.68;    0.19
01-02-65;    0.30;    0.44;    3.48;    0.19
01-03-65;    0.36;   -1.34;    1.78;    1.07
01-04-65;    0.31;    3.11;    1.19;    0.70
01-05-65;    0.31;   -0.77;    0.03;   -1.61
01-06-65;    0.35;   -5.51;   -4.35;    0.58
01-07-65;    0.31;    1.43;    0.87;    2.17
01-08-65;    0.33;    2.73;    2.84;   -1.04
01-09-65;    0.31;    2.86;    0.63;   -0.14
01-10-65;    0.31;    2.60;    2.48;    1.50
01-11-65;    0.35;   -0.03;    4.69;    0.20
01-12-65;    0.33;    1.01;    2.09;    1.99
01-01-66;    0.38;    0.72;    3.86;    3.54
01-02-66;    0.35;   -1.21;    4.46;    0.39
01-03-66;    0.38;   -2.51;    0.94;   -2.03
01-04-66;    0.34;    2.14;    3.43;   -0.50
01-05-66;    0.41;   -5.66;   -4.67;   -1.61
01-06-66;    0.38;   -1.44;    1.05;    0.51
01-07-66;    0.35;   -1.63;   -0.38;    0.93
01-08-66;    0.41;   -7.91;   -3.33;    0.59
01-09-66;    0.40;   -1.06;   -1.10;    0.54
01-10-66;    0.45;    3.86;   -6.63;    2.90
01-11-66;    0.40;    1.40;    4.37;   -4.64
01-12-66;    0.40;    0.13;    1.89;   -1.34
01-01-67;    0.43;    8.15;    8.47;    1.90
01-02-67;    0.36;    0.78;    3.36;   -2.23
01-03-67;    0.39;    3.99;    1.74;    0.18
01-04-67;    0.32;    3.89;    0.60;   -2.61
01-05-67;    0.33;   -4.33;    2.00;    0.83
01-06-67;    0.27;    2.41;    6.01;    0.88
