"";"Ticker";"Year";"Close";"Volume"
"1135";"MGLN";"2016";75,25;5025900
"1136";"MHK";"2012";90,47;13692000
"1137";"MHK";"2013";148,9;22847200
"1138";"MHK";"2014";155,36;15273400
"1139";"MHK";"2015";189,39;12556500
"1140";"MHK";"2016";199,68;10528600
"1141";"MKC";"2012";63,53;10343500
"1142";"MKC";"2013";68,92;11389300
"1143";"MKC";"2014";74,3;11973400
"1144";"MKC";"2015";85,56;13415900
"1145";"MKC";"2016";93,33;13992600
"1146";"MKL";"2012";433,42;1043600
"1147";"MKL";"2013";580,35;890100
"1148";"MKL";"2014";682,84;620200
"1149";"MKL";"2015";883,35;1400800
"1150";"MKL";"2016";904,5;1047200
"1151";"MMC";"2012";34,47;46505800
"1152";"MMC";"2013";48,36;35260500
"1153";"MMC";"2014";57,24;39633200
"1154";"MMC";"2015";55,45;47384600
"1155";"MMC";"2016";67,59;48241200
"1156";"MMM";"2012";92,85;54850200
"1157";"MMM";"2013";140,25;73382000
"1158";"MMM";"2014";164,32;53439800
"1159";"MMM";"2015";150,64;61082900
"1160";"MMM";"2016";178,49;43275700
"1161";"MNST";"2012";17,61;110393400
"1162";"MNST";"2013";22,59;82771800
"1163";"MNST";"2014";36,12;63202700
"1164";"MNST";"2015";49,65;49902500
"1165";"MNST";"2016";44,34;54163800
"1166";"MO";"2012";31,44;213926800
"1167";"MO";"2013";38,39;189047500
"1168";"MO";"2014";49,27;146217500
"1169";"MO";"2015";58,21;116368600
"1170";"MO";"2016";67,62;132650700
"1171";"MON";"2012";94,65;44992100
"1172";"MON";"2013";116,55;38709400
"1173";"MON";"2014";119,47;62689200
"1174";"MON";"2015";98,52;75537800
"1175";"MON";"2016";105,21;38970200
"1176";"MOS";"2012";56,63;48862900
"1177";"MOS";"2013";47,27;65069600
"1178";"MOS";"2014";45,65;63184500
"1179";"MOS";"2015";27,59;123088800
"1180";"MOS";"2016";29,33;106327300
"1181";"MPC";"2012";31,5;121184600
"1182";"MPC";"2013";45,87;166644800
"1183";"MPC";"2014";45,13;148705100
"1184";"MPC";"2015";51,84;122440500
"1185";"MPC";"2016";49,44;121877400
"1186";"MRK";"2012";40,94;263124000
"1187";"MRK";"2013";50,05;211085000
"1188";"MRK";"2014";56,79;229006600
"1189";"MRK";"2015";52,82;226185900
"1190";"MRK";"2016";58,87;203962200
"1191";"MRO";"2012";30,66;103153200
"1192";"MRO";"2013";35,3;117005900
"1193";"MRO";"2014";28,29;222836500
"1194";"MRO";"2015";12,59;286188200
"1195";"MRO";"2016";17,31;294192600
"1196";"MS";"2012";19,12;345139100
"1197";"MS";"2013";31,36;219393800
"1198";"MS";"2014";38,8;201217400
"1199";"MS";"2015";31,81;251203200
"1200";"MS";"2016";42,25;237718500
"1201";"MSFT";"2012";26,71;947310900
