Companies;YearFinancialIndicator;Industry;Asset;DebtRatio;NetMargin;ROA;ROE;TobinsQ;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;GreenReputation;SustainabilityPayLink;SustainableThemedCommitment;AuditScore
59;2014;5;33749000000,00;0,49;0,13;0,06;0,13;2,92;0,02;0,06;0,08;0,06;0,14;0,10;0,05;0,05
59;2015;5;31748000000,00;0,46;0,09;0,05;0,10;3,73;0,02;0,07;0,09;0,08;0,14;0,10;0,05;0,05
60;2013;4;484931000000,00;0,02;0,11;0,04;0,09;0,69;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
60;2014;4;526186000000,00;0,01;0,10;0,04;0,08;0,75;0,00;0,00;0,00;0,00;0,12;0,00;0,00;0,00
60;2015;4;552257000000,00;0,01;0,11;0,04;0,10;0,63;0,00;0,06;0,00;0,00;0,12;0,00;0,00;0,00
61;2015;5;18133000000,00;0,90;-0,03;-0,01;-0,04;1,63;0,08;0,07;0,09;0,12;0,15;0,10;0,05;0,05
61;2013;5;16571000000,00;0,65;-0,02;-0,01;-0,02;1,14;0,00;0,27;0,44;0,49;0,31;0,00;0,05;0,00
61;2014;5;17042000000,00;0,60;-0,02;-0,01;-0,02;1,21;0,06;0,07;0,09;0,10;0,15;0,10;0,05;0,05
62;2015;1;8841500000,00;0,60;0,08;0,08;0,17;1,23;0,00;0,09;0,00;0,00;0,07;0,00;0,00;0,00
62;2013;1;6917000000,00;0,29;0,08;0,09;0,19;1,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
62;2014;1;7228000000,00;0,20;0,08;0,09;0,18;1,71;0,00;0,00;0,00;0,00;0,07;0,00;0,00;0,00
63;2013;4;29680000000,00;1,05;0,18;0,04;0,13;0,84;0,00;0,00;0,00;0,00;0,60;0,00;0,00;0,00
63;2014;4;31500000000,00;0,78;0,21;0,05;0,15;0,79;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
63;2015;4;22530000000,00;0,63;0,15;0,03;0,07;1,17;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
64;2013;4;20162251000,00;2,05;0,35;0,04;0,14;1,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
64;2014;4;19886767000,00;1,83;0,18;0,02;0,08;1,41;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00
64;2015;4;18379456000,00;1,64;0,23;0,03;0,10;1,49;0,00;0,08;0,00;0,00;0,14;0,00;0,00;0,00
65;2013;4;1880382000000,00;1,11;0,17;0,01;0,07;0,15;0,23;0,26;0,14;0,10;0,04;0,10;0,05;0,05
65;2014;4;1842530000000,00;1,11;0,09;0,00;0,03;0,17;0,05;0,04;0,03;0,01;0,10;0,10;0,05;0,05
65;2015;4;1731210000000,00;0,98;0,22;0,01;0,08;0,16;0,05;0,06;0,03;0,02;0,10;0,10;0,05;0,05
66;2015;7;10857000000,00;0,37;0,19;0,07;0,14;1,20;0,06;0,03;0,09;0,07;0,19;0,10;0,00;0,05
66;2013;7;11777000000,00;0,22;0,23;0,09;0,19;1,32;0,34;0,49;0,58;0,34;0,74;0,10;0,05;0,05
66;2014;7;10915000000,00;0,22;0,19;0,07;0,14;1,25;0,05;0,03;0,08;0,13;0,19;0,10;0,00;0,05
67;2015;2;15994600000,00;1,86;-0,02;-0,10;-0,44;1,27;0,02;0,04;0,02;0,00;0,10;0,10;0,05;0,05
67;2013;2;20786400000,00;1,60;0,04;0,03;0,13;0,89;0,16;0,24;0,22;0,39;0,24;0,10;0,05;0,05
67;2014;2;19501700000,00;1,38;0,02;0,02;0,07;0,98;0,02;0,04;0,02;0,00;0,10;0,10;0,05;0,05
