"","Ticker","Year","Roa","Roe","DebtToEquityRatio","NetMargin","PayoutRatio","TotalAssets","Shares","Roic","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","PriceToEquityRatio","Eps","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","TobinsQ","StockPriceClose","Volume"
"119","AMAT",2015,0.0967,0.1779,0.44,0.1426,0.381,NA,1.226e+09,0.1259,9.659e+09,1.451e+09,1.377e+09,NA,NA,1.12,-0.00534177840865272,1e-04,-0.0216,-0.00544177840865272,-0.0217,1.60752488100012,0.0294415115090499,-0.0347832899177026,1.13,19,8064400
"120","AMAT",2016,0.1151,0.2321,0.44,0.159,0.315,NA,1.116e+09,0.162,1.0825e+10,1.54e+09,1.721e+09,NA,NA,1.54,0.00217158674917325,3e-04,0.0185,0.00187158674917325,0.0182,1.53518206118996,-0.0260687267644841,0.0282403135136573,2.04,32.900002,5388600
"121","AME",2012,0.0966,0.2001,0.45,0.1377,0.117,5190056000,2.44e+08,0.14,3.334e+09,NA,4.59e+08,2535151000,19.54,1.88,0.00801931389611573,1e-04,0.0119,0.00791931389611573,0.0118,0.459185365634977,0.002500926581623,0.00551838731449272,1.93,37.080002,601500
"122","AME",2013,0.0934,0.1823,0.36,0.1438,0.117,5877902000,2.46e+08,0.1334,3.594e+09,NA,5.17e+08,3136121000,23.6,2.1,0.068978301390123,0,0.0281,0.068978301390123,0.0281,1.84925127500251,0.0170143405625526,0.0519639608275704,2.31,NA,NA
"123","AME",2014,0.095,0.1833,0.44,0.1453,0.13,6420963000,2.47e+08,0.1352,4.022e+09,NA,5.84e+08,3239561000,21.6,2.37,0.0340087031051945,0,-6e-04,0.0340087031051945,-6e-04,1.59893807002869,0.0349680659472117,-0.000959362842017214,2.1,NA,NA
"124","AME",2015,0.0903,0.182,0.48,0.1487,0.145,6664530000,2.42e+08,0.1297,3.974e+09,NA,5.91e+08,3254626000,21.59,2.45,-0.0505804671519423,1e-04,-0.0216,-0.0506804671519423,-0.0217,0.825213846582613,-0.0327733266810996,-0.0178071404708427,2.04,53.939999,707300
"125","AME",2016,0.0744,0.1573,0.63,0.1334,0.157,7100674000,2.34e+08,0.1078,3.84e+09,NA,5.12e+08,3256513000,20.79,2.19,0.0279330100886334,3e-04,0.0185,0.0276330100886334,0.0182,1.6691798202901,-0.00274606264064641,0.0306790727292798,1.72,48.75,966400
"126","AMG",2012,0.0305,0.0881,0.54,0.0964,0,6187100000,5.3e+07,0.0845,1.806e+09,NA,1.74e+08,2084200000,47.94,3.28,0.00988351116976226,1e-04,0.0119,0.00978351116976226,0.0118,1.21656951249246,-0.00457200907764879,0.014455520247411,1.29,127.739998,173300
"127","AMG",2013,0.0577,0.1709,0.65,0.1647,0,6318800000,5.7e+07,0.1275,2.189e+09,NA,3.61e+08,2134200000,NA,6.55,0.079777736989555,0,0.0281,0.079777736989555,0.0281,1.47983286511257,0.0381944334798917,0.0415833035096633,1.96,NA,NA
"128","AMG",2014,0.0645,0.1899,0.72,0.1801,0,7698100000,5.8e+07,0.1272,2.511e+09,NA,4.33e+08,2.627e+09,NA,7.7,0.0416097135763545,0,-6e-04,0.0416097135763545,-6e-04,0.880075373334499,0.0421377588003552,-0.0005280452240007,1.72,NA,NA
"129","AMG",2015,0.0667,0.1889,0.67,0.2077,0,7784800000,5.7e+07,0.1262,2.485e+09,NA,5.1e+08,2837100000,NA,9.17,-0.103775616837975,1e-04,-0.0216,-0.103875616837975,-0.0217,1.18293965332469,-0.0782058263608292,-0.0255697904771459,1.32,163.25,374100
"130","AMG",2016,0.0572,0.1465,0.58,0.2154,0,8749100000,5.7e+07,0.1034,2.194e+09,NA,4.73e+08,3619600000,17.05,8.57,-0.0190871466242166,3e-04,0.0185,-0.0193871466242166,0.0182,2.63756830696448,-0.0673908898109701,0.0483037431867535,1.17,143.669998,429000
"131","AMGN",2012,0.0842,0.2282,1.26,0.2517,0.261,5.4298e+10,7.87e+08,0.1124,1.7265e+10,NA,4.345e+09,1.906e+10,15.61,5.52,-0.029716531693985,1e-04,0.0119,-0.029816531693985,0.0118,0.241875061186173,-0.0326706574159819,0.00295412572199684,1.22,85.239998,2418700
"132","AMGN",2013,0.0844,0.2469,1.34,0.2721,0.28,6.6125e+10,7.65e+08,0.1135,1.8676e+10,NA,5.081e+09,2.2096e+10,17.74,6.64,0,0,0.0281,0,0.0281,0.582871171435783,-0.0163786799173455,0.0163786799173455,1.46,NA,NA
"133","AMGN",2014,0.0763,0.2155,1.17,0.2571,0.362,6.9009e+10,7.7e+08,0.1033,2.0063e+10,NA,5.158e+09,2.5778e+10,23.82,6.7,-0.037096049827971,0,-6e-04,-0.037096049827971,-6e-04,0.777535389014305,-0.0366295285945624,-0.000466521233408583,1.79,NA,NA
"134","AMGN",2015,0.0987,0.2577,1.04,0.3203,0.356,7.1576e+10,7.66e+08,0.1269,2.1662e+10,NA,6.939e+09,2.8083e+10,18.19,9.06,0.00760572403422267,1e-04,-0.0216,0.00750572403422267,-0.0217,1.68764428862014,0.0441276050972796,-0.036521881063057,1.7,161.729996,1513000
"135","AMGN",2016,0.1035,0.2665,1.01,0.3359,0.379,7.7626e+10,7.54e+08,0.133,2.2991e+10,NA,7.722e+09,2.9875e+10,15.16,10.24,0.0147445239630365,3e-04,0.0185,0.0144445239630365,0.0182,1.55370580491523,-0.0138329216864207,0.0285774456494572,1.33,147.669998,1804000
"136","AMP",2012,0.0077,0.1064,0.81,0.1003,0.309,1.34729e+11,2.23e+08,NA,1.0259e+10,NA,1.029e+09,9.092e+09,15.31,4.62,0.0317951035151261,1e-04,0.0119,0.0316951035151261,0.0118,1.60000561392038,0.0128150372708656,0.0189800662442605,0.11,62.189999,895200
"137","AMP",2013,0.0096,0.1544,1.03,0.1188,0.287,1.44576e+11,2.07e+08,NA,1.123e+10,NA,1.334e+09,8.192e+09,15.08,6.44,0.0609234756743946,0,0.0281,0.0609234756743946,0.0281,1.45465356323426,0.0200477105475118,0.0408757651268828,0.17,NA,NA
"138","AMP",2014,0.011,0.1985,1.22,0.132,0.29,1.4881e+11,1.95e+08,NA,1.2296e+10,NA,1.619e+09,8.124e+09,16.08,8.3,0.00363606182532522,0,-6e-04,0.00363606182532522,-6e-04,1.26004218894937,0.00439208713869484,-0.000756025313369619,0.19,NA,NA
