"","symbol","section","sub.section","group","date","Asset Turnover","Cash Conversion Cycle","Days Inventory","Days Sales Outstanding","Fixed Assets Turnover","Inventory Turnover","Payables Period","Receivables Turnover"
"15635","KMB","Efficiency Ratios","Efficiency",81,2012-12-01,NA,41.25,NA,NA,NA,NA,NA,NA
"15636","KMB","Efficiency Ratios","Efficiency",81,2013-12-01,NA,34.44,NA,NA,NA,NA,NA,NA
"15637","KMB","Efficiency Ratios","Efficiency",81,2014-12-01,NA,25.69,NA,NA,NA,NA,NA,NA
"15638","KMB","Efficiency Ratios","Efficiency",81,2015-12-01,NA,18.45,NA,NA,NA,NA,NA,NA
"15639","KMB","Efficiency Ratios","Efficiency",81,2016-12-01,NA,15.25,NA,NA,NA,NA,NA,NA
"15640","KMB","Efficiency Ratios","Efficiency",81,2017-12-01,NA,12,NA,NA,NA,NA,NA,NA
"15641","KMB","Efficiency Ratios","Efficiency",82,2008-12-01,NA,NA,NA,NA,NA,NA,NA,7.69
"15642","KMB","Efficiency Ratios","Efficiency",82,2009-12-01,NA,NA,NA,NA,NA,NA,NA,7.56
"15643","KMB","Efficiency Ratios","Efficiency",82,2010-12-01,NA,NA,NA,NA,NA,NA,NA,7.84
"15644","KMB","Efficiency Ratios","Efficiency",82,2011-12-01,NA,NA,NA,NA,NA,NA,NA,8.22
"15645","KMB","Efficiency Ratios","Efficiency",82,2012-12-01,NA,NA,NA,NA,NA,NA,NA,8.51
"15646","KMB","Efficiency Ratios","Efficiency",82,2013-12-01,NA,NA,NA,NA,NA,NA,NA,9.02
"15647","KMB","Efficiency Ratios","Efficiency",82,2014-12-01,NA,NA,NA,NA,NA,NA,NA,8.92
"15648","KMB","Efficiency Ratios","Efficiency",82,2015-12-01,NA,NA,NA,NA,NA,NA,NA,9.08
"15649","KMB","Efficiency Ratios","Efficiency",82,2016-12-01,NA,NA,NA,NA,NA,NA,NA,8.89
"15650","KMB","Efficiency Ratios","Efficiency",82,2017-12-01,NA,NA,NA,NA,NA,NA,NA,8.53
"15651","KMB","Efficiency Ratios","Efficiency",83,2008-12-01,NA,NA,NA,NA,NA,5.49,NA,NA
"15652","KMB","Efficiency Ratios","Efficiency",83,2009-12-01,NA,NA,NA,NA,NA,5.61,NA,NA
"15653","KMB","Efficiency Ratios","Efficiency",83,2010-12-01,NA,NA,NA,NA,NA,5.99,NA,NA
"15654","KMB","Efficiency Ratios","Efficiency",83,2011-12-01,NA,NA,NA,NA,NA,6.21,NA,NA
"15655","KMB","Efficiency Ratios","Efficiency",83,2012-12-01,NA,NA,NA,NA,NA,6.09,NA,NA
"15656","KMB","Efficiency Ratios","Efficiency",83,2013-12-01,NA,NA,NA,NA,NA,6.07,NA,NA
"15657","KMB","Efficiency Ratios","Efficiency",83,2014-12-01,NA,NA,NA,NA,NA,6.32,NA,NA
"15658","KMB","Efficiency Ratios","Efficiency",83,2015-12-01,NA,NA,NA,NA,NA,6.3,NA,NA
"15659","KMB","Efficiency Ratios","Efficiency",83,2016-12-01,NA,NA,NA,NA,NA,6.44,NA,NA
"15660","KMB","Efficiency Ratios","Efficiency",83,2017-12-01,NA,NA,NA,NA,NA,6.75,NA,NA
"15661","KMB","Efficiency Ratios","Efficiency",84,2008-12-01,NA,NA,NA,NA,2.46,NA,NA,NA
"15662","KMB","Efficiency Ratios","Efficiency",84,2009-12-01,NA,NA,NA,NA,2.44,NA,NA,NA
"15663","KMB","Efficiency Ratios","Efficiency",84,2010-12-01,NA,NA,NA,NA,2.41,NA,NA,NA
"15664","KMB","Efficiency Ratios","Efficiency",84,2011-12-01,NA,NA,NA,NA,2.54,NA,NA,NA
"15665","KMB","Efficiency Ratios","Efficiency",84,2012-12-01,NA,NA,NA,NA,2.61,NA,NA,NA
"15666","KMB","Efficiency Ratios","Efficiency",84,2013-12-01,NA,NA,NA,NA,2.64,NA,NA,NA
"15667","KMB","Efficiency Ratios","Efficiency",84,2014-12-01,NA,NA,NA,NA,2.58,NA,NA,NA
"15668","KMB","Efficiency Ratios","Efficiency",84,2015-12-01,NA,NA,NA,NA,2.57,NA,NA,NA
"15669","KMB","Efficiency Ratios","Efficiency",84,2016-12-01,NA,NA,NA,NA,2.55,NA,NA,NA
"15670","KMB","Efficiency Ratios","Efficiency",84,2017-12-01,NA,NA,NA,NA,2.5,NA,NA,NA
