"";"Companies";"Year";"Ra";"ROA";"ROE";"TobinsQ";"AlphaJensen";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"EnergyProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Beta"
"140";145;2014;-0,0202940453437652;0,04;0,21;1,54;-0,0191115897313086;0,14;0;0;0;0;0;0;9,96;0,98;0,07;1;1,97075935409437
"141";145;2015;0,00961986845419952;0,06;0,28;1,6;0,0348168365212289;0,05;0;0;0;0;0;0;10,19;0,66;0,11;1;1,16575889709813
"142";146;2013;0,0145434180354145;0,05;0,11;1,68;-0,0049593126670622;0;0;0;0;0;0;0;9,6;1,11;0,33;4;0,694047355960025
"143";146;2014;-0,00273971413394309;0,04;0,1;2,08;-0,00249854999425369;0;0;0;0;0;0;0;9,64;1,36;0,27;4;0,401940232815665
"144";146;2015;0,0588562460298516;0,04;0,09;2,38;0,0564811524874987;0,04;0;0;0;0;0;0;9,78;1,69;0,24;4;-0,104843020384926
"146";147;2014;-0,014729501995187;0,02;0,12;0,42;-0,0139420873507237;0,05;0,08;0,07;0,06;1;1;1;11,32;4,8;0,02;1;1,31235774077219
"147";147;2015;-0,0168899234370659;0,03;0,27;0,56;0,00896675267323851;0,04;0,08;0,1;0,04;1;1;1;11,35;4,64;0,05;1;1,19616018941495
"148";148;2013;0,0208429872290097;0,22;0,26;6,23;-0,0438286611546302;0;0;0;0;0;0;0;9,32;0;0,13;6;2,30148214888398
"149";148;2014;0,0508952375231516;0,22;0,26;5,45;0,0516435700732376;0;0;0;0;0;0;0;9,37;0;0,13;6;1,24722091680993
"150";148;2015;0,00589701367020225;0,21;0,29;4,28;0,0188703313053966;0,01;0;0;0;0;0;0;9,4;0,17;0,13;6;0,602457033879923
"151";149;2013;0,150588948727172;0,09;0,11;7,61;0,103800963840385;0,13;0;0;0,03;0;0;0;10,25;0,02;0,19;7;1,66505284294614
