"";"Companies";"YearFinancialIndicator";"ROA";"TobinsQ";"ROE";"YearNewsWeekGR";"GreenScore";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"Green.Revenue";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"117";39;2015;0,03;0,39;0,24;2016;0,6;0,11;0,13;0,1;0,01;0,1;0,1;0,05;0;11,21;2,32;0,16;4
"118";40;2013;0,15;2,92;-0,64;2014;0;0;0;0;0;0;0;0;0;9,85;-2,43;0,11;1
"119";40;2014;0,15;3,06;-0,64;2015;0,1;0;0;0;0;0,1;0;0;0;9,89;-2,66;0,11;1
"120";40;2015;0,15;3,36;-0,71;2016;0,17;0;0,07;0;0;0,1;0;0;0;9,91;-2,67;0,11;1
"121";41;2013;0,05;1,04;0,47;2014;0,46;0,69;0,78;0,84;0;0,05;0;0,05;0,05;10,97;0,54;0,05;6
"122";41;2014;0,06;0,87;0,42;2015;0,69;0,07;0,11;0,12;0,1;0,09;0,1;0,05;0,05;11;0,94;0,06;6
"123";41;2015;0,05;0,92;0,76;2016;0,66;0,08;0,08;0,12;0,1;0,09;0,1;0,05;0,05;10,98;1,38;0,05;6
"124";42;2013;0,01;0,19;0,05;2014;0,27;0,12;0,2;0,05;0,04;0,02;0,1;0,05;0,05;12,32;1,14;0,11;4
"125";42;2014;0;0,11;0,02;2015;0,38;0,02;0,03;0,02;0,01;0,1;0,1;0,05;0,05;12,32;1,08;0,05;4
"126";42;2015;0,01;0,18;0,06;2016;0,4;0,03;0,04;0,02;0,02;0,1;0,1;0,05;0,05;12,33;1,01;0,17;4
"127";43;2013;0,08;NA;0,26;2014;0,34;0,1;0,18;0,05;0,16;0,32;0,1;0,05;0,05;10,41;0,96;0,13;5
"128";43;2014;0,1;NA;0,3;2015;0,45;0,01;0,04;0,01;0,05;0,14;0,1;0,05;0,05;10,41;0,94;0,15;5
"129";43;2015;0,05;NA;0,15;2016;0,37;0;0,02;0;0,01;0,14;0,1;0,05;0,05;10,32;0,44;0,09;5
"130";44;2013;0,17;2,2;0,26;2014;0,12;0;0;0;0;0,59;0;0;0;9,82;0,55;0,09;1
"131";44;2014;0,14;1,7;0,28;2015;0,1;0;0;0;0;0,1;0;0;0;9,87;0,47;0,08;1
"132";44;2015;0,13;1,23;0,33;2016;0,17;0;0,07;0;0;0,1;0;0;0;9,84;0,58;0,07;1
"133";45;2013;0,01;0,33;0,08;2014;0,14;0;0;0;0;0,72;0;0;0;11,26;1,07;0,16;4
"134";45;2014;0,01;0,33;0,09;2015;0,1;0;0;0;0;0,1;0;0;0;11,27;1,07;0,22;4
